kod_stacji,nazwa_stacji,rok,miesiac,dzien,tavg,precip
352160330,POZNAŃ,2017,1,1,1.4,0
352160330,POZNAŃ,2017,1,2,0.1,0
352160330,POZNAŃ,2017,1,3,0.5,4.8
352160330,POZNAŃ,2017,1,4,1.5,2.3
352160330,POZNAŃ,2017,1,5,-3.5,0
352160330,POZNAŃ,2017,1,6,-8.4,0
352160330,POZNAŃ,2017,1,7,-7.9,2.1
352160330,POZNAŃ,2017,1,8,-7.7,0
352160330,POZNAŃ,2017,1,9,-5.8,0
352160330,POZNAŃ,2017,1,10,-5,0
352160330,POZNAŃ,2017,1,11,-6.7,6
352160330,POZNAŃ,2017,1,12,1.7,0.4
352160330,POZNAŃ,2017,1,13,1.4,1.4
352160330,POZNAŃ,2017,1,14,0,0.6
352160330,POZNAŃ,2017,1,15,-0.2,2.4
352160330,POZNAŃ,2017,1,16,-1.7,0.4
352160330,POZNAŃ,2017,1,17,-3.2,0
352160330,POZNAŃ,2017,1,18,-6,0
352160330,POZNAŃ,2017,1,19,-5.8,0.5
352160330,POZNAŃ,2017,1,20,-1,0
352160330,POZNAŃ,2017,1,21,0.8,0
352160330,POZNAŃ,2017,1,22,0.2,0
352160330,POZNAŃ,2017,1,23,-3,0
352160330,POZNAŃ,2017,1,24,-1.7,0.9
352160330,POZNAŃ,2017,1,25,0.2,0.2
352160330,POZNAŃ,2017,1,26,0.4,0
352160330,POZNAŃ,2017,1,27,-2,0
352160330,POZNAŃ,2017,1,28,-3.1,0
352160330,POZNAŃ,2017,1,29,-3.1,0
352160330,POZNAŃ,2017,1,30,-1.2,0
352160330,POZNAŃ,2017,1,31,-0.4,0
352160330,POZNAŃ,2017,2,1,-0.7,0
352160330,POZNAŃ,2017,2,2,-1.9,0
352160330,POZNAŃ,2017,2,3,-1.1,0
352160330,POZNAŃ,2017,2,4,0.2,0.5
352160330,POZNAŃ,2017,2,5,-1,0
352160330,POZNAŃ,2017,2,6,-2.1,0
352160330,POZNAŃ,2017,2,7,-3.3,0
352160330,POZNAŃ,2017,2,8,-6.9,0
352160330,POZNAŃ,2017,2,9,-6.5,0
352160330,POZNAŃ,2017,2,10,-4.5,0
352160330,POZNAŃ,2017,2,11,-5.1,0
352160330,POZNAŃ,2017,2,12,-5.4,0
352160330,POZNAŃ,2017,2,13,-5.9,0
352160330,POZNAŃ,2017,2,14,-4.1,0
352160330,POZNAŃ,2017,2,15,0.2,0
352160330,POZNAŃ,2017,2,16,2.3,3.5
352160330,POZNAŃ,2017,2,17,3.7,0.5
352160330,POZNAŃ,2017,2,18,3,0.6
352160330,POZNAŃ,2017,2,19,3.5,0.2
352160330,POZNAŃ,2017,2,20,5.2,4.9
352160330,POZNAŃ,2017,2,21,6.7,0.2
352160330,POZNAŃ,2017,2,22,5.3,11.3
352160330,POZNAŃ,2017,2,23,6,8.3
352160330,POZNAŃ,2017,2,24,3.4,2.8
352160330,POZNAŃ,2017,2,25,1.8,0.2
352160330,POZNAŃ,2017,2,26,6.1,0.3
352160330,POZNAŃ,2017,2,27,8.9,0
352160330,POZNAŃ,2017,2,28,7.3,0.4
352160330,POZNAŃ,2017,3,1,5.7,0.9
352160330,POZNAŃ,2017,3,2,4.5,3
352160330,POZNAŃ,2017,3,3,6,0
352160330,POZNAŃ,2017,3,4,8.2,0
352160330,POZNAŃ,2017,3,5,8.5,0
352160330,POZNAŃ,2017,3,6,6.3,8.8
352160330,POZNAŃ,2017,3,7,2.8,0
352160330,POZNAŃ,2017,3,8,4.5,0.4
352160330,POZNAŃ,2017,3,9,4.4,0.1
352160330,POZNAŃ,2017,3,10,4.6,0
352160330,POZNAŃ,2017,3,11,2.7,0
352160330,POZNAŃ,2017,3,12,2.4,0
352160330,POZNAŃ,2017,3,13,3,0
352160330,POZNAŃ,2017,3,14,5.2,0
352160330,POZNAŃ,2017,3,15,8.7,0
352160330,POZNAŃ,2017,3,16,6.7,0
352160330,POZNAŃ,2017,3,17,7.2,0.1
352160330,POZNAŃ,2017,3,18,4.2,7.4
352160330,POZNAŃ,2017,3,19,2.9,8.5
352160330,POZNAŃ,2017,3,20,9.3,0.1
352160330,POZNAŃ,2017,3,21,10.2,7.4
352160330,POZNAŃ,2017,3,22,6.7,0
352160330,POZNAŃ,2017,3,23,6.9,0
352160330,POZNAŃ,2017,3,24,7.1,0
352160330,POZNAŃ,2017,3,25,5.4,0
352160330,POZNAŃ,2017,3,26,6.1,0
352160330,POZNAŃ,2017,3,27,9.5,0
352160330,POZNAŃ,2017,3,28,12.1,0
352160330,POZNAŃ,2017,3,29,10.7,0.8
352160330,POZNAŃ,2017,3,30,10.3,0
352160330,POZNAŃ,2017,3,31,15.6,0
352160330,POZNAŃ,2017,4,1,16.7,0
352160330,POZNAŃ,2017,4,2,13.5,0
352160330,POZNAŃ,2017,4,3,9.1,0
352160330,POZNAŃ,2017,4,4,11.9,0
352160330,POZNAŃ,2017,4,5,9.2,1.1
352160330,POZNAŃ,2017,4,6,7.6,4.5
352160330,POZNAŃ,2017,4,7,7.7,0.5
352160330,POZNAŃ,2017,4,8,8.7,0
352160330,POZNAŃ,2017,4,9,10.7,0
352160330,POZNAŃ,2017,4,10,13.1,0
352160330,POZNAŃ,2017,4,11,7.1,1.4
352160330,POZNAŃ,2017,4,12,7.5,8
352160330,POZNAŃ,2017,4,13,7.4,2.6
352160330,POZNAŃ,2017,4,14,7.5,0.6
352160330,POZNAŃ,2017,4,15,8.1,1.7
352160330,POZNAŃ,2017,4,16,5.5,0
352160330,POZNAŃ,2017,4,17,4.4,2.3
352160330,POZNAŃ,2017,4,18,3.8,0
352160330,POZNAŃ,2017,4,19,2.8,0
352160330,POZNAŃ,2017,4,20,3.3,0
352160330,POZNAŃ,2017,4,21,8.2,0.8
352160330,POZNAŃ,2017,4,22,6.3,5.9
352160330,POZNAŃ,2017,4,23,4.4,3.7
352160330,POZNAŃ,2017,4,24,6.8,0
352160330,POZNAŃ,2017,4,25,9.3,0
352160330,POZNAŃ,2017,4,26,6.1,0
352160330,POZNAŃ,2017,4,27,6,0
352160330,POZNAŃ,2017,4,28,5.9,0.8
352160330,POZNAŃ,2017,4,29,7,0
352160330,POZNAŃ,2017,4,30,5.9,0
352160330,POZNAŃ,2017,5,1,9.8,0
352160330,POZNAŃ,2017,5,2,9.6,0.4
352160330,POZNAŃ,2017,5,3,10.4,2.7
352160330,POZNAŃ,2017,5,4,9.7,4.5
352160330,POZNAŃ,2017,5,5,11.9,0
352160330,POZNAŃ,2017,5,6,10.2,3.3
352160330,POZNAŃ,2017,5,7,9.2,0.1
352160330,POZNAŃ,2017,5,8,5.2,1.5
352160330,POZNAŃ,2017,5,9,3.9,0.2
352160330,POZNAŃ,2017,5,10,6,0.4
352160330,POZNAŃ,2017,5,11,10.1,0
352160330,POZNAŃ,2017,5,12,14.3,0
352160330,POZNAŃ,2017,5,13,16.5,0
352160330,POZNAŃ,2017,5,14,16.8,0
352160330,POZNAŃ,2017,5,15,16.7,0.4
352160330,POZNAŃ,2017,5,16,14.3,0
352160330,POZNAŃ,2017,5,17,16.8,0
352160330,POZNAŃ,2017,5,18,20.5,0
352160330,POZNAŃ,2017,5,19,22.3,0
352160330,POZNAŃ,2017,5,20,15.4,0
352160330,POZNAŃ,2017,5,21,15.6,0
352160330,POZNAŃ,2017,5,22,15.6,0
352160330,POZNAŃ,2017,5,23,18.1,0
352160330,POZNAŃ,2017,5,24,12.5,5.6
352160330,POZNAŃ,2017,5,25,13.9,0
352160330,POZNAŃ,2017,5,26,16.2,0
352160330,POZNAŃ,2017,5,27,17.3,0
352160330,POZNAŃ,2017,5,28,20.6,0
352160330,POZNAŃ,2017,5,29,23,0
352160330,POZNAŃ,2017,5,30,18.9,13.7
352160330,POZNAŃ,2017,5,31,18.6,0.1
352160330,POZNAŃ,2017,6,1,14.3,0
352160330,POZNAŃ,2017,6,2,16.5,0
352160330,POZNAŃ,2017,6,3,16.4,0.4
352160330,POZNAŃ,2017,6,4,17.1,5.8
352160330,POZNAŃ,2017,6,5,16.7,0
352160330,POZNAŃ,2017,6,6,18.7,34.9
352160330,POZNAŃ,2017,6,7,15.4,4
352160330,POZNAŃ,2017,6,8,16.7,0
352160330,POZNAŃ,2017,6,9,21.1,0.5
352160330,POZNAŃ,2017,6,10,17.8,0
352160330,POZNAŃ,2017,6,11,19.7,3
352160330,POZNAŃ,2017,6,12,19.6,1.4
352160330,POZNAŃ,2017,6,13,16.6,0
352160330,POZNAŃ,2017,6,14,15.2,0
352160330,POZNAŃ,2017,6,15,17.9,0.6
352160330,POZNAŃ,2017,6,16,17.1,3.5
352160330,POZNAŃ,2017,6,17,13.5,1.5
352160330,POZNAŃ,2017,6,18,19.4,0
352160330,POZNAŃ,2017,6,19,22.1,0
352160330,POZNAŃ,2017,6,20,23,0
352160330,POZNAŃ,2017,6,21,17,0
352160330,POZNAŃ,2017,6,22,20,10
352160330,POZNAŃ,2017,6,23,18,0.6
352160330,POZNAŃ,2017,6,24,18.8,0
352160330,POZNAŃ,2017,6,25,19,3.4
352160330,POZNAŃ,2017,6,26,16.7,1.2
352160330,POZNAŃ,2017,6,27,17.4,0
352160330,POZNAŃ,2017,6,28,20.9,0.4
352160330,POZNAŃ,2017,6,29,22,14.8
352160330,POZNAŃ,2017,6,30,17,1
352160330,POZNAŃ,2017,7,1,16.2,8.3
352160330,POZNAŃ,2017,7,2,16.2,0
352160330,POZNAŃ,2017,7,3,16.5,0.8
352160330,POZNAŃ,2017,7,4,16,0.6
352160330,POZNAŃ,2017,7,5,14.4,0.2
352160330,POZNAŃ,2017,7,6,16.6,0
352160330,POZNAŃ,2017,7,7,16.8,10.5
352160330,POZNAŃ,2017,7,8,16.2,4
352160330,POZNAŃ,2017,7,9,19.6,0
352160330,POZNAŃ,2017,7,10,21.7,1.2
352160330,POZNAŃ,2017,7,11,18.6,0.7
352160330,POZNAŃ,2017,7,12,19.3,15.7
352160330,POZNAŃ,2017,7,13,16.1,0
352160330,POZNAŃ,2017,7,14,15.3,0
352160330,POZNAŃ,2017,7,15,16.8,0
352160330,POZNAŃ,2017,7,16,18.1,5.7
352160330,POZNAŃ,2017,7,17,18.7,0
352160330,POZNAŃ,2017,7,18,19.5,0
352160330,POZNAŃ,2017,7,19,20.9,0
352160330,POZNAŃ,2017,7,20,21.6,5.3
352160330,POZNAŃ,2017,7,21,22.1,0
352160330,POZNAŃ,2017,7,22,21.4,15.2
352160330,POZNAŃ,2017,7,23,20.1,5
352160330,POZNAŃ,2017,7,24,19.1,17.6
352160330,POZNAŃ,2017,7,25,16.4,19.9
352160330,POZNAŃ,2017,7,26,16.5,6.3
352160330,POZNAŃ,2017,7,27,17.3,7.4
352160330,POZNAŃ,2017,7,28,18.6,2.7
352160330,POZNAŃ,2017,7,29,19.6,0
352160330,POZNAŃ,2017,7,30,24.6,0
352160330,POZNAŃ,2017,7,31,24.9,0
352160330,POZNAŃ,2017,8,1,25.8,27.4
352160330,POZNAŃ,2017,8,2,22.2,7.2
352160330,POZNAŃ,2017,8,3,23.7,0
352160330,POZNAŃ,2017,8,4,22.6,0
352160330,POZNAŃ,2017,8,5,21.1,1.9
352160330,POZNAŃ,2017,8,6,18,0
352160330,POZNAŃ,2017,8,7,18.5,0
352160330,POZNAŃ,2017,8,8,20.4,0
352160330,POZNAŃ,2017,8,9,21.4,16.6
352160330,POZNAŃ,2017,8,10,21.8,2.7
352160330,POZNAŃ,2017,8,11,21.2,20.3
352160330,POZNAŃ,2017,8,12,16.9,0
352160330,POZNAŃ,2017,8,13,17.7,0
352160330,POZNAŃ,2017,8,14,17.4,0
352160330,POZNAŃ,2017,8,15,19.8,0
352160330,POZNAŃ,2017,8,16,18.3,4
352160330,POZNAŃ,2017,8,17,18.3,0.1
352160330,POZNAŃ,2017,8,18,23.1,3
352160330,POZNAŃ,2017,8,19,18.6,0
352160330,POZNAŃ,2017,8,20,15.8,0.2
352160330,POZNAŃ,2017,8,21,15.1,1.9
352160330,POZNAŃ,2017,8,22,14,0.8
352160330,POZNAŃ,2017,8,23,15.1,0
352160330,POZNAŃ,2017,8,24,17.4,0
352160330,POZNAŃ,2017,8,25,18.6,0
352160330,POZNAŃ,2017,8,26,18.7,0
352160330,POZNAŃ,2017,8,27,19.1,0
352160330,POZNAŃ,2017,8,28,16.6,0
352160330,POZNAŃ,2017,8,29,18.1,0
352160330,POZNAŃ,2017,8,30,21,0
352160330,POZNAŃ,2017,8,31,22.1,10.9
352160330,POZNAŃ,2017,9,1,14.3,16.5
352160330,POZNAŃ,2017,9,2,13.8,0
352160330,POZNAŃ,2017,9,3,13.3,0
352160330,POZNAŃ,2017,9,4,14.2,0.6
352160330,POZNAŃ,2017,9,5,15.3,0.3
352160330,POZNAŃ,2017,9,6,16.8,12.1
352160330,POZNAŃ,2017,9,7,13.9,0.5
352160330,POZNAŃ,2017,9,8,14.2,0.4
352160330,POZNAŃ,2017,9,9,17,0
352160330,POZNAŃ,2017,9,10,15.4,0.8
352160330,POZNAŃ,2017,9,11,15.9,0.1
352160330,POZNAŃ,2017,9,12,15,0
352160330,POZNAŃ,2017,9,13,13.7,2.1
352160330,POZNAŃ,2017,9,14,13.5,0.5
352160330,POZNAŃ,2017,9,15,13.1,0
352160330,POZNAŃ,2017,9,16,12.5,0
352160330,POZNAŃ,2017,9,17,12.6,0
352160330,POZNAŃ,2017,9,18,12.6,0
352160330,POZNAŃ,2017,9,19,11.8,0
352160330,POZNAŃ,2017,9,20,11.6,0
352160330,POZNAŃ,2017,9,21,11.7,0
352160330,POZNAŃ,2017,9,22,11.8,0.3
352160330,POZNAŃ,2017,9,23,13.2,4.5
352160330,POZNAŃ,2017,9,24,14.4,1
352160330,POZNAŃ,2017,9,25,14.1,0.4
352160330,POZNAŃ,2017,9,26,13,0
352160330,POZNAŃ,2017,9,27,15.4,0
352160330,POZNAŃ,2017,9,28,13.3,0
352160330,POZNAŃ,2017,9,29,11.5,0
352160330,POZNAŃ,2017,9,30,12.1,0
352160330,POZNAŃ,2017,10,1,12.7,0
352160330,POZNAŃ,2017,10,2,12.6,6.3
352160330,POZNAŃ,2017,10,3,12.9,0
352160330,POZNAŃ,2017,10,4,11.4,1.9
352160330,POZNAŃ,2017,10,5,10.6,13.7
352160330,POZNAŃ,2017,10,6,9.3,2.7
352160330,POZNAŃ,2017,10,7,9.8,6.8
352160330,POZNAŃ,2017,10,8,9.3,0.2
352160330,POZNAŃ,2017,10,9,8.7,0
352160330,POZNAŃ,2017,10,10,9.5,1.6
352160330,POZNAŃ,2017,10,11,13.9,0.4
352160330,POZNAŃ,2017,10,12,13.7,0.1
352160330,POZNAŃ,2017,10,13,11.5,0
352160330,POZNAŃ,2017,10,14,14.1,0
352160330,POZNAŃ,2017,10,15,15.2,0
352160330,POZNAŃ,2017,10,16,15.4,0
352160330,POZNAŃ,2017,10,17,14.7,0
352160330,POZNAŃ,2017,10,18,12.1,0
352160330,POZNAŃ,2017,10,19,11.5,0
352160330,POZNAŃ,2017,10,20,12.9,0.2
352160330,POZNAŃ,2017,10,21,11.9,0.1
352160330,POZNAŃ,2017,10,22,9.3,6.3
352160330,POZNAŃ,2017,10,23,9.4,2.8
352160330,POZNAŃ,2017,10,24,9.3,8.2
352160330,POZNAŃ,2017,10,25,12.4,5
352160330,POZNAŃ,2017,10,26,11.8,1.4
352160330,POZNAŃ,2017,10,27,10.2,2.3
352160330,POZNAŃ,2017,10,28,8.6,6.8
352160330,POZNAŃ,2017,10,29,7.4,1.1
352160330,POZNAŃ,2017,10,30,4.4,0
352160330,POZNAŃ,2017,10,31,4.8,0
352160330,POZNAŃ,2017,11,1,8.5,7.3
352160330,POZNAŃ,2017,11,2,9.5,8
352160330,POZNAŃ,2017,11,3,9,0.4
352160330,POZNAŃ,2017,11,4,7.1,0
