humidity,pressure
78,1017.9
84,1013.1
91.1,1012.1
84.9,996.1
68.3,1021.2
78.6,1038.4
82.5,1033.2
78.5,1029.8
88.6,1027.8
75.3,1019.6
74.8,1010.7
86.4,1001.7
85.9,992.2
87.8,1002.2
91.8,1012
89,1023
94.3,1035.4
93.6,1041.7
93.5,1039.4
95.9,1034.4
96.3,1033
90.8,1031.4
83,1025.4
92.8,1027.2
94,1031.7
81.5,1033.8
75.1,1027.7
70.3,1023.7
76.3,1023.8
76.9,1019.8
73.8,1018.4
78.6,1023
90.1,1017.8
94.8,1012.1
93.5,1008.9
95.1,1007.9
81.3,1019.3
79.9,1025.2
73.1,1031.2
74.6,1035.8
70.3,1033
57.9,1032
73.4,1036.8
82.8,1039.8
80.5,1037.6
69,1036.1
69.9,1028.8
91.6,1021
94.9,1024
82.9,1021.1
88.8,1012.1
80.3,1005
87.5,1001
83.4,995.6
78.6,998.4
76.8,1017.7
70.9,1011.4
61,1007.5
70.8,996.6
74.5,1000.1
84.1,1003.5
70.3,1012.5
65.6,1001.9
70.4,1001.6
80.8,1001.9
88.1,1010
74.8,1021.9
84.3,1016.2
85.1,1019.6
77.4,1025.2
78.3,1025
70.4,1027.3
67.8,1028
59.3,1024.4
63.8,1022.2
72.5,1010.8
82.4,999
77.4,1006.5
86.1,1004.9
79,1007.3
61.1,1018.7
58.9,1021.4
60,1028.6
58.9,1027
57.3,1026.4
55,1025.1
49.5,1020.4
70.5,1019.3
83.8,1025.1
64.3,1019.6
54.5,1012.9
67.8,1015.4
81,1024.7
74.5,1024.3
84.4,1018.5
63.5,1016.4
90.5,1015
85.8,1022
74.3,1025
65,1015.2
59.8,1017.9
87.9,1011.9
80.5,1007.3
74.6,1011.8
77.8,1009.5
69.5,1012.5
83.3,1015.2
63.3,1021.6
56.1,1030.6
55.4,1032.9
62,1022.5
70,1014.1
80.9,1016.3
63,1014.9
63.9,1004.7
62.1,1012
70.8,1015
80.9,1013.5
70.9,1015.8
70.9,1022.8
62.1,1019.9
65.4,1020.7
72.6,1023.3
89.8,1017.6
84.8,1018.9
94.1,1015.5
84.6,1010.8
84,1013.6
72.1,1017.7
79,1010.6
71.4,1007.7
62.3,1006.7
61.1,1012.2
64.6,1019.6
72.8,1026.2
69.9,1030
57.6,1025.7
46.3,1016.8
47.6,1011.5
76.9,1016.6
55.3,1023.3
54.3,1021.3
46.9,1016.1
86.4,1015.7
73.6,1019.5
67.9,1019.5
52.9,1024
48.5,1020.9
48.8,1013.2
79.3,1012.2
66.6,1015.4
61.5,1019.6
52.6,1018.3
50.4,1017.5
73.1,1009.3
66.8,1015.1
70.1,1007.3
69.3,1011.4
55.6,1018.5
49.4,1015.5
64.8,1018.3
56.1,1019.1
66.9,1010
62.5,1013.3
68.9,1017.6
62.6,1017.7
76.1,1012
87.8,1017.7
65.6,1023.1
66,1021.5
60.4,1014.8
58,1016.8
54.1,1012.6
84.6,1009.2
75.4,1012.2
76.5,1010
76.4,1010.8
61.5,1012.4
71.5,1003
69.9,992.1
82.1,999.1
80.3,1005.1
79.4,1011.4
61.6,1018.4
65.6,1017.3
73.8,1019.1
60,1020.4
72.8,1016
90.4,1014
71,1014.6
70.3,1008.7
82.6,1008.9
77.5,1008.9
70.4,1014.5
63.1,1016.6
61.1,1018
63,1021.7
68,1019.6
61,1021
61.9,1016.5
69.4,1010.9
75.1,1012.8
72.6,1015.2
85.3,1012.9
70,1009.4
92.5,1000.8
85.3,1000.2
91.8,1005.5
76.1,1009.4
63.1,1014.8
57.3,1011.7
56,1014.5
60.6,1015.2
81.6,1016.8
70.9,1012.7
65.5,1010.6
60.8,1013.3
72.1,1019.3
58.6,1022.6
51.9,1017.9
69.3,1016.3
75.4,1016.2
82.8,1012.9
80.6,1013.7
73.1,1018.1
66.1,1024.3
57.8,1021.9
81.9,1019.5
85.9,1020.6
70.6,1014
77.1,1015.4
72.6,1019.3
80.1,1019.1
83.5,1018.6
79.4,1017.9
67.4,1015.7
75.3,1017.5
72.9,1017.4
76.4,1013.6
74.3,1019.6
67.1,1018.9
56.5,1014
64.8,1011.6
94.8,1018.1
81.8,1016.1
84.5,1013.7
76.3,1013
86.6,1015.1
90.5,1010.8
82.9,1008.8
81.1,1009.1
72.5,1002.3
84.5,1005.4
82.1,1003.3
76.1,1005.3
79.1,1004.1
79.8,1001.2
74.9,1010
81.3,1013.1
77.9,1012.6
75.1,1013.4
76,1016.4
77.9,1017.9
87.1,1019
85.8,1019.9
95.4,1020.4
90.5,1022.4
87.3,1024.1
91.3,1028.2
70.8,1029.3
71.1,1030
68.1,1028.4
75,1023.4
68.1,1022.7
72.1,1017.6
88,1012.5
79.9,1016
89.1,1000.5
90.3,1006.5
88.9,1012.3
85.4,1008.3
73.9,1013.1
89.4,1013
87.8,1013.9
70.6,1014.6
76.8,1021.8
83.6,1024.3
86.9,1025.7
82.1,1023
82.6,1021.2
84.8,1016.3
90,1016.2
91.4,1015.7
86.5,1015
93.6,1013.2
94.6,1015.2
92.9,1023.2
93.5,1018.4
83,1019.6
